ปี_งบประมาณ,ชื่อ_อำเภอ,ชื่อ_หน่อยบริการ, จำนวนเงิน ,ชื่อ_โครงการ,สถานะ_รายงานผล
2567,เมืองระยอง,ทบ.นครระยอง," ฿ 70,350 ",โครงการพัฒนาศักยภาพเพื่อฟื้นฟูสมรรถภาพผู้พิการ และผู้ที่อยู่เครือข่ายบริการในระยะจำเป็นต้องได้รับการฟื้นฟู ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2567,แกลง,รพ.สต.กร่ำ," ฿ 66,400 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลกร่ำ อำเภอแกลง จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2567,วังจันทร์,รพ.สต.บ้านคลองเขต," ฿ 25,200 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองเขต อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2567,บ้านค่าย,รพ.สต.หนองสะพาน," ฿ 33,640 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลหนองสะพาน อำเภอบ้านค่าย จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2567,วังจันทร์,รพ.สต.บ้านเขาสิงห์โต," ฿ 19,875 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพที่จำเป็นต่อสุขภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาสิงห์โต อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2567,วังจันทร์,รพ.สต.บ้านเขาตาอิ๋น," ฿ 47,575 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาตาอิ๋น อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2567,เมืองระยอง,รพ.สต.บ้านแลง," ฿ 38,850 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแลง อำเภอเมืองระยอง จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2567,เมืองระยอง,สสจ.ระยอง," ฿ 363,000 ","โครงการ ""อบรมฟื้นฟูศักยภาพ นักฟื้นฟูสุขภาพชุมชนจังหวัดระยอง ปีงบประมาณ 2567""",เสร็จเรียบร้อย
2567,เมืองระยอง,รพ.สต.กะเฉด," ฿ 64,210 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลกะเฉด อำเภอเมืองระยอง จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
2568,วังจันทร์,รพ.สต.บ้านคลองเขต," ฿ 20,150 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองเขต อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2568,วังจันทร์,รพ.สต.บ้านเขาตาอิ๋น," ฿ 42,575 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาตาอิ๋น อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2568,วังจันทร์,รพ.สต.บ้านเขาสิงห์โต," ฿ 18,725 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาสิงห์โต อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2568,เมืองระยอง,รพ.สต.แกลง," ฿ 38,025 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลแกลง อำเภอเมืองระยอง จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2568,แกลง,รพ.สต.ชากพง," ฿ 32,010 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลชากพง อำเภอแกลง จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2568,เมืองระยอง,รพ.สต.บ้านเกาะเสม็ด," ฿ 23,535 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเกาะเสม็ด อำเภอเมืองระยอง จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2568,เมืองระยอง,รพ.สต.บ้านยายจั่น," ฿ 33,625 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยายจั่น อำเภอเมืองระยอง จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2568,บ้านค่าย,รพ.สต.หนองสะพาน," ฿ 50,120 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลหนองสะพาน อำเภอบ้านค่าย จังหวัดระยอง ประจำปีงบประมาณ 2568,เสร็จเรียบร้อย
2569,วังจันทร์,รพ.สต.บ้านเขาตาอิ๋น," ฿ 50,700 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการผู้สูงอายุ ผู้ที่มีภาวะพึ่งพิง และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพโรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาตาอิ๋น อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2569,รอรายงานผล
2569,วังจันทร์,รพ.สต.บ้านวังจันทร์," ฿ 44,850 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการผู้สูงอายุ ผู้ที่มีภาวะพึ่งพิง และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพโรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังจันทร์ อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2569,รอรายงานผล
2569,วังจันทร์,รพ.สต.บ้านเขาสิิงห์โต," ฿ 22,150 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการผู้สูงอายุ ผู้ที่มีภาวะพึ่งพิง และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพโรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาสิงห์โต อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2569,รอรายงานผล
2569,วังจันทร์,รพ.สต.บ้านคลองเขต," ฿ 19,150 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการผู้สูงอายุ ผู้ที่มีภาวะพึ่งพิง และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพโรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองเขต อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2570,รอรายงานผล
