สถานที่_อำเภอ,หน่วยงาน_ที่ตั้งศูนย์ซ่อม,กลุ่ม_อุปกรณ์ที่พร้อมให้บริการ,รายการ_อุปกรณ์,อุปกรณ์_หน่วย,จัดซื้อ_ปี66,เบิกจ่าย_ปี66,ยอดสุทธิ_ปี66(ห้ามแก้ไข),จัดซื้อ_ปี67,รวมก่อนเบิก_ปี67(ห้ามแก้ไข),เบิกจ่าย_ปี67,ยอดสุทธิ_ปี67(ห้ามแก้ไข),จัดซื้อ_ปี68_ระยะ1,จัดซื้อจากฟอร์ม_68_ร1,รวมก่อนเบิก_ปี68_ระยะ1(ห้ามแก้ไข),เบิกจ่าย_ปี68_ระยะ1,เบิกจ่าย_จากฟอร์ม_68_ร1,ยอดคงเหลือ_ปี68_ระยะ1(ห้ามแก้ไข),จัดซื้อ_ปี68_ระยะ2,จัดซื้อ_จากฟอร์ม_68_ร2,รวมก่อนเบิก_ปี68_ระยะ2(ห้ามแก้ไข),เบิกจ่าย_ปี68_ระยะ2,เบิกจ่าย_จากฟอร์ม_68_ร2,ยอดสุทธิ_ปี68(ห้ามแก้ไข),จัดซื้อ_ปี69,จัดซื้อ_จากฟอร์ม_69,รวมก่อนเบิก_ปี69(ห้ามแก้ไข),เบิกจ่าย_ปี69,เบิกจ่าย_จากฟอร์ม_69,ยอดสุทธิ_ปี69(ห้ามแก้ไข),,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ล้อยางดำ ตราม้า ชนิดไม่มีเบรค 4 นิ้ว,ล้อ,50,0,50,0,50,20,30,0,0,30,0,0,30,,0,30,,0,30,,0,30,,0,30,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,สีน้ำมัน 3.5 ลิตร,กระป๋อง,8,0,8,0,8,3,5,0,0,5,0,0,5,,0,5,,0,5,,0,5,,0,5,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,น้ำมันสน,ปี๊ป,5,0,5,0,5,3,2,0,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ทินเนอร์ ขนาด 15 กิโลกรัม,ปี๊ป,3,0,3,0,3,3,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ข้างกั้นเตียงสำเร็จ (สแตนเลส),คู่,3,0,3,0,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ไม้อัดเตียง 8 มิลลิเมตร,แผ่น,15,0,15,0,15,15,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,น็อตหัวครึ่งวงกลม 1 นิ้วพร้อมแป้นแบน,กล่อง,10,0,10,0,10,5,5,0,0,5,0,0,5,,0,5,,0,5,,0,5,,0,5,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,แผ่นฟอร์เมก้า สีขาว ขนาด 1.2x2.4 เมตร,แผ่น,10,0,10,0,10,2,8,0,0,8,0,0,8,,0,8,,0,8,,0,8,,0,8,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,กาวยาง ขนาด 13 กิโลกรัม,ถัง,3,0,3,0,3,1,2,0,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,โต๊ะคร่อมเตียง,แผ่นโต๊ะคร่อมเตียงสำเร็จ,แผ่น,10,0,10,0,10,0,10,0,0,10,0,0,10,,0,10,,0,10,,0,10,,0,10,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,ที่นอน,ฟองน้ำอัด ขนาด 2 นิ้ว,แผ่น,25,0,25,0,25,13,12,0,0,12,0,0,12,,0,12,,0,12,,0,12,,0,12,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,ที่นอน,หนังหุ้มเบาะ,ชิ้น,25,0,25,0,25,13,12,0,0,12,0,0,12,,0,12,,0,12,,0,12,,0,12,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เครื่องผลิตออกซิเจน,สาร Zeolite Molecular sieve 13X HP,กก.,20,0,20,0,20,15,5,0,0,5,0,0,5,,0,5,,0,5,,0,5,,0,5,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เครื่องผลิตออกซิเจน,เซลลูนอยด์ ขนาด 10 ลิตร,อัน,3,0,3,0,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เครื่องผลิตออกซิเจน,เซลลูนอยด์ ขนาด 5 ลิตร,อัน,3,0,3,0,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เครื่องผลิตออกซิเจน,ลิ้นวาว์ลปั๊ม,ชิ้น,10,0,10,0,10,10,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงไฟฟ้า,ชุดกล่องคอนโทรล 220 โวลต์,ชุด,3,0,3,0,3,1,2,0,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงไฟฟ้า,ชุดกล่องคอนโทรล 24 โวลต์,ชุด,3,0,3,0,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงไฟฟ้า,รีโมทคอนโทรล,อัน,3,0,3,0,3,3,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงไฟฟ้า,มอเตอร์ 24 โวลต์ ระยะ 200 มิลลิเมตร,อัน,3,0,3,0,3,2,1,0,0,1,0,0,1,,0,1,,0,1,,0,1,,0,1,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงไฟฟ้า,มอเตอร์ 24 โวลต์  ระยะ 150 มิลลิเมตร,อัน,3,0,3,0,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงไฟฟ้า,มอเตอร์ 24 โวลต์ ระยะ 100 มิลลิเมตร,อัน,3,0,3,0,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,รถวีลแชร์,เบาะนั่ง วีลแชร์,ชุด,,,0,30,30,13,17,13,0,30,0,0,30,,0,30,,0,30,,0,30,,0,30,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,รถวีลแชร์,พนักพิงหลัง วีลแชร์,ชุด,,,0,30,30,13,17,13,0,30,0,0,30,,0,30,,0,30,,0,30,,0,30,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,รถวีลแชร์,ทรายซิลิก้า ขนาด 3 กิโลกรัม,ถุง,,,0,25,25,24,1,29,0,30,0,0,30,,0,30,,0,30,,0,30,,0,30,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,รถวีลแชร์,สีกันสนิม ขนาด 17.5 ลิตร,ถัง,,,0,3,3,1.1,1.9,0,0,1.9,0,0,1.9,,0,1.9,,0,1.9,,0,1.9,,0,1.9,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,รถวีลแชร์,สีสเปรย์กันสนิม,กระป๋อง,,,0,25,25,22,3,27,0,30,0,0,30,,0,30,,0,30,,0,30,,0,30,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,รถวีลแชร์,พักแขน ชนิดปรับน็อตยึดได้,คู่,,,0,25,25,22,3,27,0,30,0,0,30,,0,30,,0,30,,0,30,,0,30,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ทรายซิลิก้า ขนาด 6 กิโลกรัม,ถุง,,,0,17,17,15,2,18,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ไกร์หัวเตียง,ชิ้น,,,0,17,17,16,1,19,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ไกร์ท้ายเตียง,ชิ้น,,,0,17,17,16,1,19,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ล้อยางดำ ตราม้า ชนิดเบรค 4 นิ้ว,ล้อ,,,0,50,50,22,28,12,0,40,0,0,40,,0,40,,0,40,,0,40,,0,40,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ล้อยางดำ ตราม้า ชนิดไม่มีเบรค 4 นิ้ว,ล้อ,,,0,50,50,15,35,5,0,40,0,0,40,,0,40,,0,40,,0,40,,0,40,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,สีน้ำมัน 3.5 ลิตร,กระป๋อง,,,0,10,10,7.5,2.5,0,0,2.5,0,0,2.5,,0,2.5,,0,2.5,,0,2.5,,0,2.5,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,น้ำมันสน,ปี๊ป,,,0,5,5,3.75,1.25,5,0,6.25,0,0,6.25,,0,6.25,,0,6.25,,0,6.25,,0,6.25,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ทินเนอร์ ขนาด 15 กิโลกรัม,ปี๊ป,,,0,5,5,1.875,3.125,0,0,3.125,0,0,3.125,,0,3.125,,0,3.125,,0,3.125,,0,3.125,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ข้างกั้นเตียงสำเร็จ (สแตนเลส),คู่,,,0,3,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,ไม้อัดเตียง 8 มิลลิเมตร,แผ่น,,,0,15,15,15,0,20,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,น็อตหัวครึ่งวงกลม 1 นิ้วพร้อมแป้นแบน,กล่อง,,,0,10,10,4.8,5.2,2,0,7.2,0,0,7.2,,0,7.2,,0,7.2,,0,7.2,,0,7.2,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,แผ่นฟอร์เมก้า สีขาว ขนาด 1.2x2.4 เมตร,แผ่น,,,0,10,10,0,10,0,0,10,0,0,10,,0,10,,0,10,,0,10,,0,10,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงคนไข้,กาวยาง ขนาด 13 กิโลกรัม,ถัง,,,0,3,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,โต๊ะคร่อมเตียง,แผ่นโต๊ะคร่อมเตียงสำเร็จ,แผ่น,,,0,9,9,0,9,0,0,9,0,0,9,,0,9,,0,9,,0,9,,0,9,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,ที่นอน,ฟองน้ำอัด ขนาด 2 นิ้ว,แผ่น,,,0,25,25,25,0,26,0,26,0,0,26,,0,26,,0,26,,0,26,,0,26,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,ที่นอน,หนังหุ้มเบาะ,ชิ้น,,,0,25,25,25,0,26,0,26,0,0,26,,0,26,,0,26,,0,26,,0,26,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องผลิตออกซิเจน,สาร Zeolite Molecular sieve 13X HP,กก.,,,0,20,20,18,2,38,0,40,0,0,40,,0,40,,0,40,,0,40,,0,40,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องผลิตออกซิเจน,เซลลูนอยด์ ขนาด 10 ลิตร,อัน,,,0,3,3,0,3,1,0,4,0,0,4,,0,4,,0,4,,0,4,,0,4,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องผลิตออกซิเจน,เซลลูนอยด์ ขนาด 5 ลิตร,อัน,,,0,3,3,2,1,10,0,11,0,0,11,,0,11,,0,11,,0,11,,0,11,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องผลิตออกซิเจน,ลิ้นวาว์ลปั๊ม,ชิ้น,,,0,10,10,8,2,0,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องผลิตออกซิเจน,ไส้กรองละเอียด,ชิ้น,,,0,0,0,0,0,24,0,24,0,0,24,,0,24,,0,24,,0,24,,0,24,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องผลิตออกซิเจน,แหวนลูกสูบ,ชิ้น,,,0,0,0,0,0,12,0,12,0,0,12,,0,12,,0,12,,0,12,,0,12,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงไฟฟ้า,ชุดกล่องคอนโทรล 220 โวลต์,ชุด,,,0,3,3,3,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงไฟฟ้า,ชุดกล่องคอนโทรล 24 โวลต์,ชุด,,,0,3,3,3,0,8,0,8,0,0,8,,0,8,,0,8,,0,8,,0,8,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงไฟฟ้า,รีโมทคอนโทรล,อัน,,,0,3,3,3,0,8,0,8,0,0,8,,0,8,,0,8,,0,8,,0,8,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงไฟฟ้า,มอเตอร์ 24 โวลต์ ระยะ 200 มิลลิเมตร,อัน,,,0,3,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงไฟฟ้า,มอเตอร์ 24 โวลต์  ระยะ 150 มิลลิเมตร,อัน,,,0,3,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เตียงไฟฟ้า,มอเตอร์ 24 โวลต์ ระยะ 100 มิลลิเมตร,อัน,,,0,3,3,0,3,0,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,ที่นอนลม,ลอนอะไหล่,ชิ้น,,,0,0,0,0,0,10,0,10,0,0,10,,0,10,,0,10,,0,10,,0,10,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,ที่นอนลม,มอเตอร์ Timer,ชิ้น,,,0,0,0,0,0,5,0,5,0,0,5,,0,5,,0,5,,0,5,,0,5,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องดูดเสมหะ,สายต่อเครื่องดูดเสมหะ,ชุด,,,0,0,0,0,0,6,0,6,0,0,6,,0,6,,0,6,,0,6,,0,6,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องดูดเสมหะ,ตัวกรองเสมหะ,ชุด,,,0,0,0,0,0,6,0,6,0,0,6,,0,6,,0,6,,0,6,,0,6,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องดูดเสมหะ,ยางรองกระบอก,อัน,,,0,0,0,0,0,2,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,เครื่องดูดเสมหะ,กระบอกเก็บเสมหะ ขนาด 1000 ml,กระบอก,,,0,0,0,0,0,2,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,งานซ่อมสีเตียงและวีลแชร์,สีน้ำมัน 3.5 ลิตร,กระป๋อง,,,0,0,0,0,0,12,0,12,0,0,12,,0,12,,0,12,,0,12,,0,12,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,งานซ่อมสีเตียงและวีลแชร์,สีกันสนิม ขนาด 17.5 กก.,ถัง,,,0,0,0,0,0,4,0,4,0,0,4,,0,4,,0,4,,0,4,,0,4,,,,,,,,,,,,,,
เมืองระยอง,เทศบาลตำบลเพ,งานซ่อมสีเตียงและวีลแชร์,ทินเนอร์ ขนาด 15 กก.,ปี๊ป,,,0,0,0,0,0,6,0,6,0,0,6,,0,6,,0,6,,0,6,,0,6,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,รถวีลแชร์,เบาะนั่ง วีลแชร์,ชุด,,,0,0,0,0,0,100,0,100,0,0,100,,0,100,,0,100,,0,100,,0,100,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,รถวีลแชร์,พนักพิงหลัง วีลแชร์,ชุด,,,0,0,0,0,0,100,0,100,0,0,100,,0,100,,0,100,,0,100,,0,100,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,รถวีลแชร์,สีสเปรย์กันสนิม,กระป๋อง,,,0,0,0,0,0,50,0,50,0,0,50,,0,50,,0,50,,0,50,,0,50,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,รถวีลแชร์,พักแขน ชนิดปรับน็อตยึดได้,คู่,,,0,0,0,0,0,100,0,100,0,0,100,,0,100,,0,100,,0,100,,0,100,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ที่นอนผู้ป่วยแบบ 4 ตอน เตียง 3 ไกร์,แผ่น,,,0,0,0,0,0,10,0,10,0,0,10,,0,10,,0,10,,0,10,,0,10,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ไกร์หัวเตียง,ชิ้น,,,0,0,0,0,0,4,0,4,0,0,4,,0,4,,0,4,,0,4,,0,4,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ไกร์ท้ายเตียง,ชิ้น,,,0,0,0,0,0,3,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ล้อยางดำ ตราม้า ชนิดเบรค 4 นิ้ว,ล้อ,,,0,0,0,0,0,100,0,100,0,0,100,,0,100,,0,100,,0,100,,0,100,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ล้อยางดำ ตราม้า ชนิดไม่มีเบรค 4 นิ้ว,ล้อ,,,0,0,0,0,0,100,0,100,0,0,100,,0,100,,0,100,,0,100,,0,100,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,น้ำมันสน,ปี๊ป,,,0,0,0,0,0,10,0,10,0,0,10,,0,10,,0,10,,0,10,,0,10,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ทินเนอร์ ขนาด 15 กิโลกรัม,ปี๊ป,,,0,0,0,0,0,10,0,10,0,0,10,,0,10,,0,10,,0,10,,0,10,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ข้างกั้นเตียงสำเร็จ (สแตนเลส),คู่,,,0,0,0,0,0,5,0,5,0,0,5,,0,5,,0,5,,0,5,,0,5,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,ไม้อัดเตียง 8 มิลลิเมตร,แผ่น,,,0,0,0,0,0,20,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,น็อตหัวครึ่งวงกลม 1 นิ้วพร้อมแป้นแบน,กล่อง,,,0,0,0,0,0,20,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,แผ่นฟอร์เมก้า สีขาว ขนาด 1.2x2.4 เมตร,แผ่น,,,0,0,0,0,0,20,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เตียงคนไข้,กาวยาง ขนาด 13 กิโลกรัม,ถัง,,,0,0,0,0,0,3,0,3,0,0,3,,0,3,,0,3,,0,3,,0,3,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,โต๊ะคร่อมเตียง,แผ่นโต๊ะคร่อมเตียงสำเร็จ,แผ่น,,,0,0,0,0,0,20,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เครื่องผลิตออกซิเจน ขนาด 10 ลิตรต่อนาที,กระบอกน้ำให้ความชื้น,ชุด,,,0,0,0,0,0,50,0,50,0,0,50,,0,50,,0,50,,0,50,,0,50,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เครื่องผลิตออกซิเจน ขนาด 10 ลิตรต่อนาที,แผ่นกรองอากาศละเอียด,ชิ้น,,,0,0,0,0,0,100,0,100,0,0,100,,0,100,,0,100,,0,100,,0,100,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เครื่องผลิตออกซิเจน ขนาด 10 ลิตรต่อนาที,แผ่นกรองอากาศแบบหยาบ,ชิ้น,,,0,0,0,0,0,100,0,100,1,0,99,,0,99,,0,99,,0,99,,0,99,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เครื่องผลิตออกซิเจน ขนาด 10 ลิตรต่อนาที,สายต่อกระบอก,ชิ้น,,,0,0,0,0,0,50,0,50,0,0,50,,0,50,,0,50,,0,50,,0,50,,,,,,,,,,,,,,
บ้านฉาง,โรงพยาบาลบ้านฉาง,เครื่องผลิตออกซิเจน ขนาด 10 ลิตรต่อนาที,ใส้กรองเครื่องผลิตออกซิเจน ยี่ห้อ longfin รุ่น jay-10,ชิ้น,,,0,0,0,0,0,10,0,10,0,0,10,,0,10,,0,10,,0,10,,0,10,,,,,,,,,,,,,,
